id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW191126_115259-v1,GW191126_115259,1,GWTC-3-confident,1258804397.6,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191126_115259/v1,12.1,-2.2,5.5,8.3,-2.4,1.9,8.3,-0.5,0.2,1620.0,-740.0,740.0,0.21,-0.11,0.15,20.7,-2.0,3.4,8.65,-0.71,0.95,,,,0.3,-0.13,0.12,3.2,,,0.70041,,,19.6,-2.0,3.5
GW191127_050227-v1,GW191127_050227,1,GWTC-3-confident,1258866165.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191127_050227/v1,53.0,-20.0,47.0,24.0,-14.0,17.0,9.2,-0.6,0.7,3400.0,-1900.0,3100.0,0.18,-0.36,0.34,80.0,-22.0,39.0,29.9,-9.1,11.7,,,,0.57,-0.29,0.4,0.25,,,0.73996,,,76.0,-21.0,39.0
GW191129_134029-v1,GW191129_134029,1,GWTC-3-confident,1259070047.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191129_134029/v1,10.7,-2.1,4.1,6.7,-1.7,1.5,13.1,-0.3,0.2,790.0,-330.0,260.0,0.06,-0.08,0.16,17.5,-1.2,2.4,7.31,-0.28,0.43,,,,0.16,-0.06,0.05,1e-05,,,0.99,,,16.8,-1.2,2.5
GW191204_110529-v1,GW191204_110529,1,GWTC-3-confident,1259492747.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191204_110529/v1,27.3,-5.9,10.8,19.2,-6.0,5.5,8.9,-0.6,0.4,1900.0,-1100.0,1700.0,0.05,-0.26,0.25,47.1,-7.8,9.1,19.8,-3.2,3.6,,,,0.34,-0.18,0.25,3.3,,,0.74239,,,45.0,-7.5,8.7
GW191204_171526-v1,GW191204_171526,1,GWTC-3-confident,1259514944.0,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191204_171526/v1,11.7,-1.7,3.3,8.4,-1.7,1.3,17.4,-0.3,0.2,640.0,-260.0,200.0,0.16,-0.05,0.08,20.19,-0.95,1.64,8.56,-0.28,0.41,,,,0.13,-0.05,0.04,1e-05,,,0.99,,,19.18,-0.93,1.71
GW191215_223052-v1,GW191215_223052,1,GWTC-3-confident,1260484270.3,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191215_223052/v1,24.9,-4.1,7.1,18.1,-4.1,3.8,11.2,-0.4,0.3,1930.0,-860.0,890.0,-0.04,-0.21,0.17,43.3,-4.3,5.3,18.4,-1.7,2.2,,,,0.35,-0.14,0.13,1e-05,,,0.99,,,41.4,-4.1,5.1
GW191216_213338-v1,GW191216_213338,1,GWTC-3-confident,1260567236.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191216_213338/v1,12.1,-2.2,4.6,7.7,-1.9,1.6,18.6,-0.2,0.2,340.0,-130.0,120.0,0.11,-0.06,0.13,19.8,-0.93,2.7,8.33,-0.19,0.22,,,,0.07,-0.03,0.02,1e-05,,,0.99,,,18.87,-0.93,2.81
GW191219_163120-v1,GW191219_163120,1,GWTC-3-confident,1260808298.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191219_163120/v1,31.1,-2.8,2.2,1.17,-0.06,0.07,9.1,-0.8,0.5,550.0,-160.0,240.0,0.0,-0.09,0.07,32.3,-2.7,2.2,4.31,-0.17,0.12,,,,0.11,-0.03,0.05,4.0,,,0.8224,,,32.2,-2.7,2.2
GW191222_033537-v1,GW191222_033537,1,GWTC-3-confident,1261020955.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191222_033537/v1,45.1,-8.0,10.9,34.7,-10.5,9.3,12.5,-0.3,0.2,3000.0,-1700.0,1700.0,-0.04,-0.25,0.2,79.0,-11.0,16.0,33.8,-5.0,7.1,,,,0.51,-0.26,0.23,1e-05,,,0.99,,,75.5,-9.9,15.3
GW191230_180458-v1,GW191230_180458,1,GWTC-3-confident,1261764316.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191230_180458/v1,49.4,-9.6,14.0,37.0,-12.0,11.0,10.4,-0.4,0.3,4300.0,-1900.0,2100.0,-0.05,-0.31,0.26,86.0,-12.0,19.0,36.5,-5.6,8.2,,,,0.69,-0.27,0.26,0.05,,,0.96159,,,82.0,-11.0,17.0
GW200112_155838-v1,GW200112_155838,1,GWTC-3-confident,1262879936.0,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200112_155838/v1,35.6,-4.5,6.7,28.3,-5.9,4.4,19.8,-0.2,0.1,1250.0,-460.0,430.0,0.06,-0.15,0.15,63.9,-4.6,5.7,27.4,-2.1,2.6,,,,0.24,-0.08,0.07,1e-05,,,0.99,,,60.8,-4.3,5.3
GW200115_042309-v2,GW200115_042309,2,GWTC-3-confident,1263097407.7,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200115_042309/v2,5.9,-2.5,2.0,1.44,-0.28,0.85,11.3,-0.5,0.3,290.0,-100.0,150.0,-0.15,-0.42,0.23,7.4,-1.7,1.7,2.43,-0.07,0.05,,,,0.06,-0.02,0.03,1e-05,,,0.99,,,7.2,-1.7,1.8
GW200128_022011-v1,GW200128_022011,1,GWTC-3-confident,1264213229.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200128_022011/v1,42.2,-8.1,11.6,32.6,-9.2,9.5,10.6,-0.4,0.3,3400.0,-1800.0,2100.0,0.12,-0.25,0.24,75.0,-12.0,17.0,32.0,-5.5,7.5,,,,0.56,-0.28,0.28,0.0043,,,0.99,,,71.0,-11.0,16.0
GW200129_065458-v1,GW200129_065458,1,GWTC-3-confident,1264316116.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200129_065458/v1,34.5,-3.1,9.9,29.0,-9.3,3.3,26.8,-0.2,0.2,890.0,-370.0,260.0,0.11,-0.16,0.11,63.3,-3.4,4.5,27.2,-2.3,2.1,,,,0.18,-0.07,0.05,1e-05,,,0.99,,,60.2,-3.2,4.1
GW200202_154313-v1,GW200202_154313,1,GWTC-3-confident,1264693411.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200202_154313/v1,10.1,-1.4,3.5,7.3,-1.7,1.1,10.8,-0.4,0.2,410.0,-160.0,150.0,0.04,-0.06,0.13,17.58,-0.67,1.78,7.49,-0.2,0.24,,,,0.09,-0.03,0.03,1e-05,,,0.99,,,16.76,-0.66,1.87
GW200208_130117-v1,GW200208_130117,1,GWTC-3-confident,1265202095.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200208_130117/v1,37.7,-6.2,9.3,27.4,-7.3,6.3,10.8,-0.4,0.3,2230.0,-850.0,1020.0,-0.07,-0.27,0.21,65.3,-6.8,8.1,27.7,-3.1,3.7,,,,0.4,-0.14,0.15,0.00031,,,0.99,,,62.5,-6.4,7.5
GW200208_222617-v1,GW200208_222617,1,GWTC-3-confident,1265235995.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200208_222617/v1,51.0,-30.0,103.0,12.3,-5.5,9.2,7.4,-1.2,1.4,4100.0,-2000.0,4400.0,0.45,-0.46,0.42,63.0,-26.0,100.0,19.8,-5.2,10.5,,,,0.66,-0.29,0.53,4.8,,,0.70006,,,61.0,-26.0,99.0
GW200209_085452-v1,GW200209_085452,1,GWTC-3-confident,1265273710.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200209_085452/v1,35.6,-6.8,10.5,27.1,-7.8,7.8,9.6,-0.5,0.4,3400.0,-1800.0,1900.0,-0.12,-0.3,0.24,62.6,-9.4,13.9,26.7,-4.2,6.0,,,,0.57,-0.26,0.25,0.046,,,0.97236,,,59.9,-8.9,13.1
GW200210_092254-v1,GW200210_092254,1,GWTC-3-confident,1265361792.9,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200210_092254/v1,24.1,-4.6,7.5,2.83,-0.42,0.47,8.4,-0.7,0.5,940.0,-340.0,430.0,0.02,-0.21,0.22,27.0,-4.3,7.1,6.56,-0.4,0.38,,,,0.19,-0.06,0.08,1.2,,,0.54462,,,26.7,-4.3,7.2
GW200216_220804-v1,GW200216_220804,1,GWTC-3-confident,1265926102.8,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200216_220804/v1,51.0,-13.0,22.0,30.0,-16.0,14.0,8.1,-0.5,0.4,3800.0,-2000.0,3000.0,0.1,-0.36,0.34,81.0,-14.0,20.0,32.9,-8.5,9.3,,,,0.63,-0.29,0.37,0.35,,,0.77277,,,78.0,-13.0,19.0
GW200219_094415-v1,GW200219_094415,1,GWTC-3-confident,1266140673.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200219_094415/v1,37.5,-6.9,10.1,27.9,-8.4,7.4,10.7,-0.5,0.3,3400.0,-1500.0,1700.0,-0.08,-0.29,0.23,65.0,-8.2,12.6,27.6,-3.8,5.6,,,,0.57,-0.22,0.22,0.00099,,,0.99,,,62.2,-7.8,11.7
GW200220_061928-v1,GW200220_061928,1,GWTC-3-confident,1266214786.7,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_061928/v1,87.0,-23.0,40.0,61.0,-25.0,26.0,7.2,-0.7,0.4,6000.0,-3100.0,4800.0,0.06,-0.38,0.4,148.0,-33.0,55.0,62.0,-15.0,23.0,,,,0.9,-0.4,0.55,6.8,,,0.62376,,,141.0,-31.0,51.0
GW200220_124850-v1,GW200220_124850,1,GWTC-3-confident,1266238148.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_124850/v1,38.9,-8.6,14.1,27.9,-9.0,9.2,8.5,-0.5,0.3,4000.0,-2200.0,2800.0,-0.07,-0.33,0.27,67.0,-12.0,17.0,28.2,-5.1,7.3,,,,0.66,-0.31,0.36,30.0,,,0.82579,,,64.0,-11.0,16.0
GW200224_222234-v1,GW200224_222234,1,GWTC-3-confident,1266618172.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1,40.0,-4.5,6.7,32.7,-7.2,4.8,20.0,-0.2,0.2,1710.0,-650.0,500.0,0.1,-0.16,0.15,72.3,-5.3,7.2,31.1,-2.7,3.3,,,,0.32,-0.11,0.08,1e-05,,,0.99,,,68.7,-4.8,6.7
GW200225_060421-v1,GW200225_060421,1,GWTC-3-confident,1266645879.3,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200225_060421/v1,19.3,-3.0,5.0,14.0,-3.5,2.8,12.5,-0.4,0.3,1150.0,-530.0,510.0,-0.12,-0.28,0.17,33.5,-3.0,3.6,14.2,-1.4,1.5,,,,0.22,-0.1,0.09,1.1e-05,,,0.99,,,32.1,-2.8,3.5
GW200302_015811-v1,GW200302_015811,1,GWTC-3-confident,1267149509.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200302_015811/v1,37.8,-8.5,8.7,20.0,-5.7,8.1,10.8,-0.4,0.3,1480.0,-700.0,1020.0,0.01,-0.26,0.25,57.8,-6.9,9.6,23.4,-3.0,4.7,,,,0.28,-0.12,0.16,0.11,,,0.90643,,,55.5,-6.6,8.9
GW200306_093714-v1,GW200306_093714,1,GWTC-3-confident,1267522652.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200306_093714/v1,28.3,-7.7,17.1,14.8,-6.4,6.5,7.8,-0.6,0.4,2100.0,-1100.0,1700.0,0.32,-0.46,0.28,43.9,-7.5,11.8,17.5,-3.0,3.5,,,,0.38,-0.18,0.24,24.0,,,0.81156,,,41.7,-6.9,12.3
GW200308_173609-v1,GW200308_173609,1,GWTC-3-confident,1267724187.7,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200308_173609/v1,60.0,-29.0,166.0,24.0,-13.0,36.0,4.7,-2.9,2.5,7100.0,-4400.0,13900.0,0.16,-0.49,0.58,92.0,-48.0,169.0,34.0,-18.0,44.0,,,,1.04,-0.57,1.47,2.4,,,0.8566,,,88.0,-47.0,169.0
GW200311_115853-v1,GW200311_115853,1,GWTC-3-confident,1267963151.3,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200311_115853/v1,34.2,-3.8,6.4,27.7,-5.9,4.1,17.8,-0.2,0.2,1170.0,-400.0,280.0,-0.02,-0.2,0.16,61.9,-4.2,5.3,26.6,-2.0,2.4,,,,0.23,-0.07,0.05,1e-05,,,0.99,,,59.0,-3.9,4.8
GW200316_215756-v1,GW200316_215756,1,GWTC-3-confident,1268431094.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200316_215756/v1,13.1,-2.9,10.2,7.8,-2.9,2.0,10.3,-0.7,0.4,1120.0,-440.0,480.0,0.13,-0.1,0.27,21.2,-2.0,7.2,8.75,-0.55,0.62,,,,0.22,-0.08,0.08,1e-05,,,0.99,,,20.2,-1.9,7.4
GW200322_091133-v1,GW200322_091133,1,GWTC-3-confident,1268903511.3,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200322_091133/v1,38.0,-22.0,130.0,11.3,-6.0,24.3,4.5,-3.0,2.7,3500.0,-2200.0,12500.0,0.27,-0.58,0.54,50.0,-22.0,132.0,15.0,-4.0,29.5,,,,0.59,-0.32,1.43,140.0,,,0.61501,,,48.0,-22.0,132.0
GW230518_125908-v1,GW230518_125908,1,GWTC-4.0,1368449966.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230518_125908/v1,8.17,-0.92,0.84,1.45,-0.1,0.13,14.1,,,236.0,-96.0,108.0,-0.01,-0.11,0.09,9.61,-0.79,0.76,2.8,-0.06,0.06,,,,0.05,-0.02,0.02,1e-05,,,0.99,,,,,
GW230529_181500-v2,GW230529_181500,2,GWTC-4.0,1369419318.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230529_181500/v2,3.66,-1.21,0.81,1.42,-0.22,0.6,11.8,,,202.0,-98.0,103.0,-0.1,-0.18,0.12,5.08,-0.6,0.6,1.94,-0.04,0.04,,,,0.04,-0.02,0.02,0.00022,,,0.99,,,,,
GW230531_141100-v1,GW230531_141100,1,GWTC-4.0,1369577478.3,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230531_141100/v1,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,3.5,,,0.69,,,,,
GW230601_224134-v1,GW230601_224134,1,GWTC-4.0,1369694512.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230601_224134/v1,64.0,-13.0,17.0,44.0,-15.0,14.0,13.4,,,3700.0,-1800.0,2100.0,-0.03,-0.32,0.27,107.0,-15.0,22.0,45.0,-7.3,10.0,,,,0.6,-0.26,0.28,1e-05,,,0.99,,,102.0,-14.0,21.0
GW230603_174756-v1,GW230603_174756,1,GWTC-4.0,1369849694.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230603_174756/v1,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,8.4,,,0.73,,,,,
GW230605_065343-v1,GW230605_065343,1,GWTC-4.0,1369983241.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230605_065343/v1,17.2,-3.5,6.5,11.1,-2.7,2.5,11.4,,,1060.0,-480.0,610.0,0.06,-0.1,0.16,28.6,-2.8,4.0,11.94,-0.94,0.96,,,,0.21,-0.09,0.1,1e-05,,,0.99,,,27.3,-2.7,4.1
GW230606_004305-v1,GW230606_004305,1,GWTC-4.0,1370047403.8,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230606_004305/v1,37.6,-7.6,13.4,25.8,-8.3,8.1,11.1,,,2700.0,-1400.0,1500.0,-0.11,-0.31,0.26,63.4,-8.3,13.4,26.5,-3.6,5.7,,,,0.48,-0.22,0.2,0.00041,,,0.99,,,60.7,-7.9,12.8
GW230606_024545-v1,GW230606_024545,1,GWTC-4.0,1370054763.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230606_024545/v1,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,3.2,,,0.88,,,,,
GW230608_205047-v1,GW230608_205047,1,GWTC-4.0,1370292665.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230608_205047/v1,48.0,-11.0,13.0,31.0,-11.0,11.0,10.2,,,3500.0,-1700.0,2200.0,0.04,-0.26,0.25,79.0,-11.0,16.0,32.8,-5.4,7.3,,,,0.58,-0.26,0.29,0.0012,,,0.99,,,75.0,-11.0,15.0
GW230609_010824-v1,GW230609_010824,1,GWTC-4.0,1370308122.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230609_010824/v1,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,2.8,,,0.81,,,,,
GW230609_064958-v1,GW230609_064958,1,GWTC-4.0,1370328616.3,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230609_064958/v1,35.3,-6.9,10.7,25.2,-7.5,7.5,10.6,,,3400.0,-1700.0,1900.0,-0.14,-0.27,0.22,60.3,-8.0,12.9,25.5,-3.6,5.8,,,,0.56,-0.25,0.25,0.00014,,,0.99,,,57.8,-7.7,12.2
GW230615_160825-v1,GW230615_160825,1,GWTC-4.0,1370880524.0,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230615_160825/v1,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,4.3,,,0.5,,,,,
GW230618_102550-v1,GW230618_102550,1,GWTC-4.0,1371119168.0,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230618_102550/v1,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,49.00000000000001,,,0.59,,,,,
GW230624_113103-v1,GW230624_113103,1,GWTC-4.0,1371641481.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230624_113103/v1,27.2,-6.9,13.4,16.1,-4.5,4.8,11.4,,,1940.0,-970.0,1270.0,0.17,-0.25,0.29,43.8,-6.6,11.1,18.0,-2.4,3.2,,,,0.35,-0.16,0.19,0.00017999999999999998,,,0.99,,,41.8,-6.3,10.7
GW230624_214944-v1,GW230624_214944,1,GWTC-4.0,1371678602.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230624_214944/v1,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,2.2,,,0.69,,,,,
GW230625_211655-v1,GW230625_211655,1,GWTC-4.0,1371763033.0,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230625_211655/v1,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,42.0,,,0.61,,,,,
GW230627_015337-v1,GW230627_015337,1,GWTC-4.0,1371866035.8,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230627_015337/v1,8.4,-1.3,1.7,5.79,-0.92,0.95,28.7,,,305.0,-134.0,65.0,0.02,-0.03,0.08,14.19,-0.45,0.77,6.02,-0.07,0.16,,,,0.07,-0.03,0.01,1e-05,,,0.99,,,13.54,-0.45,0.82
GW230628_231200-v1,GW230628_231200,1,GWTC-4.0,1372029138.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230628_231200/v1,32.5,-3.9,5.9,27.1,-5.2,4.9,16.4,,,2250.0,-1070.0,800.0,-0.01,-0.16,0.16,59.3,-4.9,8.6,25.5,-2.2,3.8,,,,0.4,-0.17,0.12,1e-05,,,0.99,,,56.5,-4.6,8.1
GW230630_070659-v1,GW230630_070659,1,GWTC-4.0,1372144037.0,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230630_070659/v1,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,0.47000000000000003,,,0.88,,,,,
GW230630_125806-v1,GW230630_125806,1,GWTC-4.0,1372165104.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230630_125806/v1,51.0,-14.0,20.0,33.0,-13.0,15.0,9.0,,,5400.0,-3000.0,5100.0,0.17,-0.31,0.3,84.0,-19.0,26.0,35.0,-8.5,11.4,,,,0.83,-0.41,0.59,0.16,,,0.99,,,80.0,-18.0,25.0
GW230630_234532-v1,GW230630_234532,1,GWTC-4.0,1372203950.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230630_234532/v1,10.0,-1.8,3.5,6.6,-1.6,1.5,9.9,,,1080.0,-480.0,520.0,-0.04,-0.08,0.16,16.8,-1.4,2.1,7.06,-0.48,0.57,,,,0.21,-0.09,0.09,0.00042,,,0.99,,,16.1,-1.4,2.1
GW230702_162025-v1,GW230702_162025,1,GWTC-4.0,1372350043.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230702_162025/v1,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,6.5,,,0.6,,,,,
GW230702_185453-v1,GW230702_185453,1,GWTC-4.0,1372359311.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230702_185453/v1,40.0,-13.0,20.0,18.0,-6.5,8.5,10.1,,,2400.0,-1100.0,1900.0,0.05,-0.26,0.29,60.0,-11.0,15.0,22.9,-3.5,4.0,,,,0.43,-0.17,0.27,1e-05,,,0.99,,,57.0,-11.0,15.0
GW230704_021211-v1,GW230704_021211,1,GWTC-4.0,1372471949.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230704_021211/v1,32.4,-7.9,11.9,19.9,-6.0,6.5,9.4,,,2700.0,-1500.0,1800.0,-0.01,-0.24,0.21,52.7,-8.2,10.8,21.8,-3.2,4.4,,,,0.48,-0.23,0.25,0.21,,,0.99,,,50.5,-7.9,10.6
GW230704_212616-v1,GW230704_212616,1,GWTC-4.0,1372541194.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230704_212616/v1,89.0,-27.0,42.0,49.0,-25.0,30.0,8.7,,,7200.0,-4200.0,6100.0,0.28,-0.43,0.34,139.0,-31.0,49.0,55.0,-14.0,23.0,,,,1.05,-0.54,0.68,0.51,,,0.93,,,132.0,-30.0,47.0
GW230706_104333-v1,GW230706_104333,1,GWTC-4.0,1372675431.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230706_104333/v1,16.3,-3.0,5.4,11.5,-2.7,2.6,9.2,,,1930.0,-980.0,920.0,0.19,-0.14,0.13,27.9,-3.0,4.4,11.8,-1.1,1.7,,,,0.35,-0.16,0.14,0.23,,,0.98,,,26.5,-2.8,4.3
GW230707_124047-v1,GW230707_124047,1,GWTC-4.0,1372768865.3,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230707_124047/v1,46.1,-8.2,12.2,36.4,-9.8,10.6,11.9,,,4500.0,-2300.0,2300.0,-0.05,-0.29,0.25,82.0,-12.0,19.0,35.1,-5.3,8.6,,,,0.71,-0.32,0.29,0.0011,,,0.99,,,78.0,-11.0,18.0
GW230708_053705-v1,GW230708_053705,1,GWTC-4.0,1372829843.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230708_053705/v1,29.1,-5.4,8.2,22.8,-5.4,5.5,8.9,,,3300.0,-1700.0,2000.0,0.07,-0.24,0.23,51.9,-7.6,10.2,22.2,-3.3,4.4,,,,0.55,-0.25,0.27,0.21999999999999997,,,0.99,,,49.4,-7.2,9.7
GW230708_071859-v1,GW230708_071859,1,GWTC-4.0,1372835957.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230708_071859/v1,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,1.5,,,0.73,,,,,
GW230708_230935-v1,GW230708_230935,1,GWTC-4.0,1372892993.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230708_230935/v1,64.0,-15.0,20.0,39.0,-15.0,14.0,10.0,,,3500.0,-1600.0,2300.0,0.01,-0.3,0.27,103.0,-16.0,21.0,42.5,-7.8,9.7,,,,0.58,-0.24,0.29,0.0037,,,0.99,,,99.0,-15.0,20.0
GW230709_063445-v1,GW230709_063445,1,GWTC-4.0,1372919703.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230709_063445/v1,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,15.0,,,0.83,,,,,
GW230709_122727-v1,GW230709_122727,1,GWTC-4.0,1372940865.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230709_122727/v1,45.0,-11.0,16.0,30.0,-13.0,13.0,10.2,,,4600.0,-2400.0,3500.0,0.08,-0.31,0.3,74.0,-14.0,20.0,31.0,-6.6,9.4,,,,0.73,-0.34,0.43,0.011,,,0.99,,,71.0,-13.0,19.0
GW230712_090405-v1,GW230712_090405,1,GWTC-4.0,1373187863.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230712_090405/v1,32.0,-10.0,17.0,13.1,-5.9,14.6,9.5,,,2000.0,-1000.0,2600.0,-0.03,-0.31,0.35,46.0,-11.0,21.0,16.5,-3.2,11.1,,,,0.37,-0.17,0.36,0.018,,,0.99,,,45.0,-11.0,20.0
GW230717_102139-v1,GW230717_102139,1,GWTC-4.0,1373624517.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230717_102139/v1,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,29.0,,,0.7,,,,,
GW230721_222634-v1,GW230721_222634,1,GWTC-4.0,1374013612.8,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230721_222634/v1,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,4.1,,,0.73,,,,,
GW230723_084820-v1,GW230723_084820,1,GWTC-4.0,1374137318.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230723_084820/v1,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,3.8999999999999995,,,0.64,,,,,
GW230723_101834-v1,GW230723_101834,1,GWTC-4.0,1374142732.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230723_101834/v1,16.7,-3.4,5.9,10.6,-2.8,2.8,10.1,,,1610.0,-890.0,690.0,-0.18,-0.17,0.2,27.5,-2.6,4.3,11.4,-0.92,1.64,,,,0.3,-0.16,0.11,0.0034,,,0.99,,,26.4,-2.6,4.2
GW230726_002940-v1,GW230726_002940,1,GWTC-4.0,1374366598.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230726_002940/v1,35.6,-5.9,9.0,27.9,-6.0,6.0,10.5,,,2000.0,-1000.0,1200.0,-0.02,-0.23,0.21,63.6,-7.9,10.3,27.3,-3.4,4.4,,,,0.37,-0.17,0.18,1e-05,,,0.99,,,60.6,-7.4,9.7
